Sno,index,network,title,imdb,engagement,format,monster_gender,motive
124,191,ABC,A Fright at the Opera,7.2,31.0,TV Series (segmented),Male,Trespassing
125,192,ABC,Robot Ranch,7.1,31.0,TV Series (segmented),Male,Abduction
126,193,ABC,Surprised Spies,7.1,31.0,TV Series (segmented),Male,Theft
127,194,ABC,The Invasion of the Scooby Snatchers,7.2,31.0,TV Series (segmented),Male,Conquer
128,197,ABC,Scooby-Nocchio,7.4,32.0,TV Series (segmented),Male,Imagination
129,198,ABC,Lighthouse Keeper Scooby,7.4,32.0,TV Series (segmented),Male,Trespassing
130,199,ABC,Scooby's Roots,7.4,32.0,TV Series (segmented),Male,Mistake
131,200,ABC,Scooby's Escape from Atlantis,7.2,30.0,TV Series (segmented),Male,Trespassing
132,201,ABC,Excalibur Scooby,7.2,30.0,TV Series (segmented),Male,Assistance
133,202,ABC,Scooby Saves the World,7.1,27.0,TV Series (segmented),Male,Conquer
134,204,ABC,Rickshaw Scooby,7.1,29.0,TV Series (segmented),Male,Trespassing
135,205,ABC,Scooby's Luck of the Irish,7.2,30.0,TV Series (segmented),Male,Trespassing
136,207,ABC,Scooby's House of Mystery,7.1,27.0,TV Series (segmented),Female,Experimentation
137,208,ABC,Sweet Dreams Scooby,7.1,27.0,TV Series (segmented),Male,Imagination
138,209,ABC,Scooby-Doo 2000,7.1,29.0,TV Series (segmented),Male,Automated
139,210,ABC,Punk Rock Scooby,7.1,29.0,TV Series (segmented),Male,Abduction
140,211,ABC,Canine to Five,7.4,27.0,TV Series (segmented),Male,Food
141,212,ABC,Hard Hat Scooby,7.1,27.0,TV Series (segmented),Male,Food
142,213,ABC,Hothouse Scooby,7.1,29.0,TV Series (segmented),Male,Food
143,216,ABC,Tenderbigfoot,7.1,32.0,TV Series (segmented),Male,Theft
144,217,ABC,Scooby and the Beanstalk,7.1,32.0,TV Series (segmented),Male,Food
145,220,ABC,Catfish Burglar Caper,7.1,24.0,TV Series (segmented),Male,Theft
146,230,ABC,Comic Book Caper,7.4,23.0,TV Series (segmented),Male,Theft
147,235,ABC,Scooby-Doo and Genie-Poo,7.1,25.0,TV Series (segmented),Female,Abduction
148,237,ABC,Captain Canine Caper,7.2,23.0,TV Series (segmented),Male,Extortion
149,238,ABC,The Incredible Cat Lady Caper,7.0,23.0,TV Series (segmented),Female,Theft
150,240,ABC,One Million Years Before Lunch,7.1,24.0,TV Series (segmented),Male,Abduction
151,241,ABC,Where's the Wolf,7.4,24.0,TV Series (segmented),Male,Food
152,243,ABC,Snow Job Too Small,6.8,26.0,TV Series (segmented),Male,Inheritance
153,244,ABC,Scooby the Barbarian,7.4,27.0,TV Series (segmented),Male,Theft
154,245,ABC,No Sharking Zone,7.4,27.0,TV Series (segmented),Male,Treasure
155,247,ABC,The Quagmire Quake Caper,7.5,21.0,TV Series (segmented),Male,Theft
156,248,ABC,Hound of the Scoobyvilles,7.5,17.0,TV Series (segmented),Male,Inheritance
157,249,ABC,The Dinosaur Deception,7.5,17.0,TV Series (segmented),Male,Treasure
158,250,ABC,The Creature Came from The Chemlab,7.7,20.0,TV Series (segmented),Male,Theft
159,251,ABC,"No Thanks, Masked Manx",7.7,20.0,TV Series (segmented),Male,Theft
160,252,ABC,Scooby of the Jungle,7.2,18.0,TV Series (segmented),Male,Smuggling
161,254,ABC,Scooby Roo,7.5,15.0,TV Series (segmented),Male,Natural Resource
162,256,ABC,Wizards and Warlocks,7.3,15.0,TV Series (segmented),Male,Competition
163,257,ABC,Scoobsie,7.3,15.0,TV Series (segmented),Male,Competition
164,259,ABC,The Crazy Carnival Caper,7.1,17.0,TV Series (segmented),Male,Theft
165,260,ABC,Scooby and the Minotaur,7.4,18.0,TV Series (segmented),Male,Treasure
166,261,ABC,Scooby Pinch Hits,7.4,18.0,TV Series (segmented),Male,Competition
167,262,ABC,The Fall Dog,7.2,20.0,TV Series (segmented),Male,Competition
168,263,ABC,The Scooby Coupe,7.2,20.0,TV Series (segmented),Male,Competition
169,265,ABC,Scooby ala Mode,6.5,21.0,TV Series (segmented),Male,Competition
170,266,ABC,Where's Scooby-Doo?,6.5,19.0,TV Series,Male,Smuggling
171,267,ABC,Wedding Bell Boos!,6.5,23.0,TV Series,Male,Treasure
172,268,ABC,"Happy Birthday, Scooby-Doo",7.2,45.0,TV Series,Male,Theft
173,269,ABC,Scooby's Peep-Hole Pandemonium,7.2,29.0,TV Series (segmented),Female,Theft
174,270,ABC,The Hand of Horror,7.2,29.0,TV Series (segmented),Male,Theft
175,271,ABC,Scoo-Be or Not Scoo-Be?,7.5,29.0,TV Series (segmented),Male,Natural Resource
176,272,ABC,The Stoney Glare Stare,7.5,29.0,TV Series (segmented),Male,Treasure
177,273,ABC,Mission: Un-Doo-Able,7.0,26.0,TV Series (segmented),Male,Conquer
178,274,ABC,The Bee Team,7.0,26.0,TV Series (segmented),Male,Competition
179,275,ABC,Doom Service,7.1,24.0,TV Series (segmented),Male,Theft
