,imdb,engagement,monster_gender,motive,zoinks,jinkies,monster_name,culprit_gender
89,6.8,84.0,"Male,Male",Competition,1.0,4.0,"Anthos,Devil Hound","Male,Male"
90,7.1,84.0,Male,Smuggling,4.0,3.0,Beast of Bottomless Lake,Female
91,7.6,67.0,Male,Competition,3.0,1.0,Blue Scarab,Male
92,7.6,59.0,Male,Theft,2.0,3.0,Night Ghoul,Male
93,7.6,54.0,Male,Smuggling,10.0,2.0,Alien,Female
94,7.4,55.0,Male,Competition,4.0,3.0,Neon Phantom,Male
95,7.5,51.0,"Male,Male",Smuggling,3.0,1.0,"Snake Demon,Clown",Male
96,7.4,51.0,Male,Natural Resource,8.0,4.0,Sky Skeleton,Male
97,7.5,51.0,Male,Theft,3.0,0.0,Dragon Beast,Male
98,7.3,53.0,Male,Treasure,2.0,1.0,Devil Bear,Male
99,7.6,47.0,Male,Treasure,6.0,3.0,Sea Beast of the Aztecs,Male
100,8.0,52.0,Female,Theft,3.0,3.0,Lady Vampire of the Bat,Female
101,7.2,48.0,Male,Theft,5.0,1.0,Star Creature,Male
102,7.7,52.0,Male,Theft,2.0,2.0,Shadow Creature,Male
103,7.5,48.0,Male,Treasure,8.0,5.0,Ghost of Jeremiah Pratt,Male
104,7.3,47.0,Male,Theft,2.0,2.0,Ghost of the Great Haldane,Male
105,7.5,46.0,Male,Treasure,4.0,5.0,Minotaur,Male
106,7.2,45.0,Male,Theft,0.0,1.0,Red Skull,Male
107,6.9,36.0,"Male,Male,Male,Male",Treasure,3.0,1.0,"Zombies,Zombies,Zombies,Zombies","Female,Male,Male,Male"
108,8.0,47.0,Male,Theft,4.0,1.0,Ghost of Dr. Van Helsing,"Male,Female"
109,7.3,68.0,Male,Counterfeit,5.0,3.0,Ghost,Male
110,7.5,58.0,Male,Theft,2.0,3.0,Sludge Monster from the Earth's Croe,Male
111,8.0,55.0,Male,Theft,1.0,3.0,Dr. Croaker,Male
112,7.5,61.0,Male,Competition,2.0,4.0,Cheese Monster,Male
113,7.4,44.0,Male,Competition,3.0,4.0,Ghost of Al Cabone,Female
114,7.6,50.0,Male,Theft,4.0,3.0,Boogedy Bones,"Female,Male"
115,7.8,44.0,Male,Natural Resource,1.0,4.0,Ice Demon,Male
116,7.7,47.0,Male,Theft,2.0,10.0,Samurai Ghost,Male
117,7.0,47.0,Male,Smuggling,1.0,6.0,Headless Skateboarder,"Female,Male"
118,7.5,53.0,Male,Competition,2.0,5.0,Boobeard,Male
119,6.9,46.0,Male,Competition,2.0,11.0,Totem Spirit,Male
120,7.2,44.0,Male,Theft,1.0,6.0,Ghost of Chef Pierre Goulash,Male
121,7.5,45.0,Male,Theft,1.0,7.0,Stinkweed,Male
122,7.7,43.0,Male,Theft,0.0,2.0,Ghost of Buster McMutt Mauler,Male
123,7.7,43.0,Male,Theft,0.0,3.0,Alien,Female
124,7.8,43.0,Male,Theft,0.0,6.0,Ghost of Purvis Parker,Male
125,7.5,38.0,Male,Smuggling,2.0,3.0,Chickenstein,Male
126,7.6,42.0,Male,Competition,0.0,1.0,Burger Monster,Male
127,7.7,40.0,Male,Competition,0.0,8.0,Dinkley 2000,Male
128,7.8,38.0,Male,Competition,3.0,6.0,Ghost of Zombo,Male
129,7.1,37.0,Male,Assistance,0.0,2.0,Boogey Biker,Male
130,7.1,37.0,Male,Competition,0.0,6.0,Astronaut Ghost,Male
131,6.9,35.0,Male,Competition,2.0,4.0,Bigwig,Male
132,7.2,38.0,Male,Competition,1.0,6.0,Ghost of the Hooded Heifer,Male
133,7.2,40.0,Male,Treasure,0.0,6.0,Nasty-Doo,Male
134,6.6,37.0,Female,Theft,2.0,3.0,Ghost of Mrs. Shusham,Female
135,7.2,32.0,Male,Competition,1.0,6.0,Moving Mollusk,Male
136,8.4,148.0,Male,Trespassing,5.0,2.0,Ghostly Gardener,Female
137,7.4,390.0,"Male,Male",Entertainment,2.0,0.0,"Casper County Monster,Casper County Monster",Male
140,7.2,256.0,"Male,Male,Male",Competition,2.0,1.0,"Zombie,Mummy,Zombie Gary Coleman",Male
142,8.1,133.0,Male,Competition,0.0,0.0,Green Monster,Male
143,7.5,176.0,Male,Competition,2.0,1.0,Snow Creature,Male
144,7.4,150.0,Male,Natural Resource,1.0,1.0,Dinosaur Spirit,"Male,Female"
145,7.6,151.0,Male,Competition,1.0,0.0,The Alien,Female
146,7.7,142.0,"Male,Male",Competition,4.0,2.0,"Ghost of the Leland Brothers,Ghost of the Leland Brothers",Male
147,7.6,144.0,Female,Competition,3.0,1.0,The Mystery Machine,Female
148,7.5,125.0,Male,Competition,1.0,1.0,Ghost of Rufus Raucaus,Female
149,7.7,133.0,Male,Competition,0.0,1.0,Roller Ghoster,Female
150,7.1,130.0,Male,Smuggling,2.0,1.0,Jungle Demons,"Female,Male"
151,7.1,122.0,Female,Preservation,2.0,2.0,Motoshondu,Male
152,7.5,137.0,Male,Treasure,2.0,1.0,Headless Snowman,Male
153,7.7,122.0,"Male,Female,Male",Treasure,2.0,0.0,"Spaceman Swintons,Annabel Action Figure,Other Toys",Male
154,7.5,115.0,Male,Competition,0.0,1.0,Faceless Phantom,Male
155,7.1,110.0,Male,Competition,4.0,0.0,Undead,"Male,Male"
157,7.3,110.0,Male,Competition,1.0,0.0,Baseball Specter,Male
158,7.2,112.0,"Male,Male",Competition,3.0,2.0,"Ancient One,30 Foot Shaggy",Male
159,7.6,102.0,"Male,Male,Male,Female,Male,Male,Female,Female",Competition,1.0,1.0,"Mummy of Pharaoh Scamses,Zombies,Zombies,Zombies,Zombies,Zombie Fred,Zombie Daphnie,Zombie Velma","Male,Female"
160,7.4,104.0,Male,Competition,2.0,2.0,Gusano Grande,Male
162,7.4,105.0,Male,Competition,0.0,0.0,Baron Fortescu,"Male,Male"
163,7.6,129.0,"Male,Male",Competition,1.0,2.0,"Scarecrows,Ghost of Hank Banning",Female
164,7.2,97.0,Male,Competition,1.0,1.0,Cat Creature,"Female,Male,Male"
165,7.3,103.0,Male,Competition,0.0,1.0,San Franpsycho,Female
166,7.5,113.0,Male,Competition,1.0,0.0,Invisible Man,"Male,Male,Male,Female"
167,7.5,109.0,"Male,Male",Competition,2.0,0.0,"Scooby Snack Monster,Scooby Snack Monster","Female,Female"
168,7.5,94.0,Male,Treasure,2.0,0.0,Glasburgh Dragon,Male
169,7.4,99.0,Male,Preservation,2.0,1.0,Fish Creature,Male
170,7.2,96.0,"Male,Male",Preservation,2.0,1.0,"Wakumi,Shaman",Male
172,7.4,91.0,Male,Treasure,1.0,0.0,Centaur,Female
174,8.0,128.0,"Male,Male",Competition,2.0,0.0,"Creepy Keeper,Skeleton Crew","Male,Female"
175,7.2,102.0,"Male,Male,Male",Competition,3.0,0.0,"Sheriff,Cold Steel,Other Robot Cowboys",Male
177,7.5,97.0,"Male,Female,Female,Male,Male",Competition,1.0,0.0,"Clone Fred,Clone Daphnie,Clone Velma,Clone Shaggy,Clone Scooby",Male
178,7.4,90.0,Male,Competition,2.0,0.0,Titanic Twist,"Male,Female"
179,7.5,89.0,Male,Competition,1.0,2.0,Gargoyle,"Female,Male"
180,7.3,101.0,Male,Competition,0.0,0.0,Demon Farmer,Male
181,7.0,96.0,Male,Theft,0.0,0.0,Frozen Fiend,Female
182,7.6,105.0,Male,Competition,1.0,0.0,Menacing Metallic Clown,Male
183,7.4,88.0,Male,Competition,2.0,1.0,Dragon,Male
184,7.3,87.0,Male,Competition,0.0,2.0,Skeleton Driver,"Male,Female"
185,7.4,84.0,Male,Competition,2.0,0.0,Gold Monster,Male
186,7.5,92.0,"Male,Male",Competition,1.0,1.0,"Coral Creature,Sand Monsters",Male
193,7.9,337.0,Male,Theft,1.0,1.0,Slime Mutant,Male
194,7.8,304.0,"Male,Female,Male",Counterfeit,2.0,0.0,"Creeping Creatures,Creeping Creatures,Creeping Creatures","Male,Female,Male"
195,7.7,267.0,Male,Theft,1.0,1.0,Ghost Truck,Male
196,7.7,255.0,Male,Competition,1.0,2.0,Man-Crab,Male
197,8.0,254.0,"Male,Male",Competition,0.0,2.0,"Que Horrifico,Spookified Kids",Female
198,8.5,263.0,Female,Competition,2.0,2.0,Ghost Girl,Female
199,8.2,256.0,Male,Competition,0.0,0.0,Phantom,Male
200,7.8,229.0,Male,Competition,0.0,0.0,Gnome,Male
201,7.6,221.0,"Male,Male",Competition,4.0,0.0,"Green Humungonaut,Red Humungonaut","Male,Male"
203,8.2,235.0,Male,Competition,0.0,2.0,Fright Hound,Female
204,8.1,225.0,Female,Theft,0.0,0.0,Vampire,Female
205,8.4,246.0,Male,Competition,1.0,1.0,Char Gar Gothakon,Male
206,8.0,224.0,Male,Preservation,0.0,0.0,Cicada Creature,Female
207,8.2,254.0,Male,Imagination,0.0,0.0,Lord Infernicus,Male
208,7.7,221.0,Male,Competition,2.0,0.0,Shadowy Orc,Male
209,8.2,228.0,Female,Competition,0.0,1.0,Aphrodite,Female
210,8.2,211.0,Male,Theft,1.0,1.0,White Wizard,"Male,Female"
211,8.5,227.0,Male,Competition,1.0,0.0,Nightfright,Male
