index,series_name,network,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_species,monster_real,monster_amount,suspects_amount,arrested,culprit_gender,culprit_amount,motive,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo
34,The New Scooby-Doo Movies,CBS,7.7,96.0,1972-11-04,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Human,Human,Human,Human,Dinosaur,Human,Human",False,7,2,True,Male,1,Theft,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,The New Scooby-Doo Movies,CBS,8.3,118.0,1972-11-11,43,TV Series,The Ghost of Bigfoot,Male,Ghost,Big Foot,False,1,4,True,Male,1,Theft,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,The New Scooby-Doo Movies,CBS,7.6,86.0,1972-11-18,43,TV Series,Ghost of the Red Baron,Male,Ghost,Human,False,1,3,True,Male,1,Competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
37,The New Scooby-Doo Movies,CBS,7.4,90.0,1972-11-25,43,TV Series,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Male,Male,Male,Male","Ghost,Ghost,Ghost,Ghost","Human,Human,Human,Human",False,4,1,True,Male,1,Natural Resource,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
38,The New Scooby-Doo Movies,CBS,7.8,86.0,1972-12-02,41,TV Series,"Haunted Horseman,Moat Monster","Male,Male","Ghost,Animal","Human,Frog",False,2,4,False,"Male,Male",2,Competition,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,The New Scooby-Doo Movies,CBS,7.6,81.0,1972-12-09,41,TV Series,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Male,Male","Possessed Object,Possessed Object","Human,Human",False,2,2,True,"Female,Male",2,Theft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,The New Scooby-Doo Movies,CBS,7.2,183.0,1972-12-16,43,TV Series,"Dryad,Troll","Male,Male","Mythical,Mythical","Dryad,Troll",False,2,2,True,"Male,Male",2,Theft,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0
41,The New Scooby-Doo Movies,CBS,7.9,114.0,1972-12-23,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male","Mythical,Ghost,Ghost,Ghost","Serpent,Human,Human,Human",False,4,4,True,"Male,Male,Male",3,Treasure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,The New Scooby-Doo Movies,CBS,7.4,103.0,1973-09-08,44,TV Series,"Hooded Ghosts,Hooded Ghosts,Hooded Ghosts","Male,Male,Male","Ghost,Ghost,Ghost","Human,Human,Human",False,3,2,False,"Male,Male,Male",3,Competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,The New Scooby-Doo Movies,CBS,7.9,82.0,1973-09-15,43,TV Series,"Ghost of Injun Joe,Ghost of Captain Scavenger","Male,Male","Ghost,Ghost","Human,Human",False,2,3,True,"Male,Male",2,Counterfeit,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
