index,gender,medal,athlete,abb,type,year
3048,Men,Gold,CASSIN Paul,IRL,Athletics,1988
3049,Men,Silver,SPANGLER Walter,FRG,Athletics,1988
3050,Men,Bronze,DERETA Zeljko,YUG,Athletics,1988
3051,Men,Gold,WALKER Michael,GBR,Athletics,1988
3052,Men,Silver,ANUNDSEN Ragnar,NOR,Athletics,1988
3053,Men,Bronze,OWENS Eric,USA,Athletics,1988
3054,Men,Gold,WILLIAMS Paul,GBR,Athletics,1988
3055,Men,Silver,NOORDUIN Willem,NED,Athletics,1988
3056,Men,Bronze,LOIACONO Giovanni,ITA,Athletics,1988
3057,Men,Gold,SCHEIBER Anton,AUT,Athletics,1988
3058,Men,Silver,SOLMARI Timo,FIN,Athletics,1988
3059,Men,Bronze,SYBES Ruud,NED,Athletics,1988
3060,Men,Gold,HAYDEN Ian,GBR,Athletics,1988
3061,Men,Silver,LESSITER Brian,GBR,Athletics,1988
3062,Men,Bronze,WALISZEWSKI Miroslaw,POL,Athletics,1988
3063,Men,Gold,TWOMEY John,IRL,Athletics,1988
3064,Men,Silver,SCHAFF Gary,CAN,Athletics,1988
3065,Men,Bronze,WALLRODT Bruce,AUS,Athletics,1988
3066,Men,Gold,NOURAFSHAN Mokhtar,IRI,Athletics,1988
3067,Men,Silver,MCKEOWN Stewart,CAN,Athletics,1988
3068,Men,Bronze,CHAVOSHI Saiid Reza,IRI,Athletics,1988
3069,Men,Gold,GRIEB Luis,AUT,Athletics,1988
3070,Men,Silver,GIDDY Terry,AUS,Athletics,1988
3071,Men,Bronze,MARTIN Jacques,CAN,Athletics,1988
3072,Men,Gold,MOHAMED Mohamed Abdulla,EGY,Athletics,1988
3073,Men,Silver,HARRIS John,GBR,Athletics,1988
3074,Men,Bronze,VAN DEN ABBEELE Rudi,FRA,Athletics,1988
3075,Men,Gold,WOLF Nachman,ISR,Athletics,1988
3076,Men,Silver,AL-ALI Ayad,KUW,Athletics,1988
3077,Men,Bronze,AHRENS Rene,AUS,Athletics,1988
3078,Men,Gold,REELIE Richard,CAN,Athletics,1988
3079,Men,Silver,HEIR Douglas,USA,Athletics,1988
3080,Men,Bronze,AGOURAKIS Christos,GRE,Athletics,1988
3081,Men,Gold,PEREIRA Luis Claudio,BRA,Athletics,1988
3082,Men,Silver,HENKER Siegmar,FRG,Athletics,1988
3083,Men,Bronze,NIKOLIC Milorad,YUG,Athletics,1988
3084,Men,Gold,VAN DER DONK Adrianus,NED,Athletics,1988
3085,Men,Silver,SIMONAZZI Roberto,FRG,Athletics,1988
3086,Men,Bronze,MCGREGOR Kerrod,AUS,Athletics,1988
3087,Men,Gold,BURSCHGENS Hubert,FRG,Athletics,1988
3088,Men,Silver,KUMTAN Sakul,THA,Athletics,1988
3089,Men,Bronze,TYNAN Ronan,IRL,Athletics,1988
3090,Men,Gold,KASMA Erkki,FIN,Athletics,1988
3091,Men,Silver,ENRIGHT James,CAN,Athletics,1988
3092,Men,Bronze,SUN Chang Ting,CHN,Athletics,1988
3093,Men,Gold,ROTH Harald,AUT,Athletics,1988
3094,Men,Silver,DABROWSKI Jerzy,POL,Athletics,1988
3095,Men,Bronze,OGURA Toshiaki,JPN,Athletics,1988
3096,Men,Gold,KARPINSKI Slawomir,POL,Athletics,1988
3097,Men,Silver,BELANGER John,CAN,Athletics,1988
3098,Men,Bronze,JEROME John,USA,Athletics,1988
3099,Men,Gold,GUIRNUS Vitautas,URS,Athletics,1988
3100,Men,Silver,SULISALO Timo,FIN,Athletics,1988
3101,Men,Bronze,OZAKI Mineho,JPN,Athletics,1988
3102,Men,Gold,MOKHIR Alexandre,URS,Athletics,1988
3103,Men,Silver,HEIKKINEN Raimo,FIN,Athletics,1988
3104,Men,Bronze,GODLEWSKI Andrzej,POL,Athletics,1988
3105,Men,Gold,SHORT Russell,AUS,Athletics,1988
3106,Men,Silver,BRZEGOWSKI Jan,POL,Athletics,1988
3107,Men,Bronze,KOLYVANOV Andrei,URS,Athletics,1988
3108,Men,Gold,WALKER Michael,GBR,Athletics,1988
3109,Men,Silver,BURNS Norman,GBR,Athletics,1988
3110,Men,Bronze,ANUNDSEN Ragnar,NOR,Athletics,1988
3111,Men,Gold,WILLIAMS Paul,GBR,Athletics,1988
3112,Men,Silver,JOHNSON Denton,USA,Athletics,1988
3113,Men,Bronze,QUICKERT Michael,FRG,Athletics,1988
3114,Men,Gold,KWON Tae Joon,KOR,Athletics,1988
3115,Men,Silver,SILVA Claudio Nunes,BRA,Athletics,1988
3116,Men,Bronze,KRIEGER Stefan,FRG,Athletics,1988
3117,Men,Gold,MAKINEN Antti,FIN,Athletics,1988
3118,Men,Silver,KOH Jang Hwan,KOR,Athletics,1988
3119,Men,Bronze,AMUNDSEN Knut,NOR,Athletics,1988
3120,Men,Gold,HAYDEN Ian,GBR,Athletics,1988
3121,Men,Silver,DANBERG Scott,USA,Athletics,1988
3122,Men,Bronze,MALISZEWSKI Miroslaw,POL,Athletics,1988
3123,Men,Gold,MIMBERG Dirk,FRG,Athletics,1988
3124,Men,Silver,REZAII Ahmad,IRI,Athletics,1988
3125,Men,Bronze,LADERVAL Eric,FRA,Athletics,1988
3126,Men,Gold,WALLRODT Bruce,AUS,Athletics,1988
3127,Men,Silver,LEINONEN Matti,FIN,Athletics,1988
3128,Men,Bronze,NORTMANN Hermann,FRG,Athletics,1988
3129,Men,Gold,LAVEBORN Mats,SWE,Athletics,1988
3130,Men,Silver,SALEVA Mikael,FIN,Athletics,1988
3131,Men,Bronze,PETERNELJ Marjan,YUG,Athletics,1988
3132,Men,Gold,YAR-AHMADI Mohammad-Hadi,IRI,Athletics,1988
3133,Men,Silver,DAVIS Jefferson,JAM,Athletics,1988
3134,Men,Bronze,SCHUHBAUER Johann,FRG,Athletics,1988
3135,Men,Gold,ABDOLLAHZADEH Javad,IRI,Athletics,1988
3136,Men,Silver,MOSOTI Samson,KEN,Athletics,1988
3137,Men,Bronze,JONES Leslie,GBR,Athletics,1988
3138,Men,Gold,AL-KHULEFI Adnan,KUW,Athletics,1988
3139,Men,Silver,WOLF Nachman,ISR,Athletics,1988
3140,Men,Bronze,MOHAMED Aly,KUW,Athletics,1988
3141,Men,Gold,WEBER Edund,FRG,Athletics,1988
3142,Men,Silver,HAYLAN Jose Daniel,ARG,Athletics,1988
3143,Men,Bronze,D'AGOSTINI Paolo,ITA,Athletics,1988
3144,Men,Gold,PARK Se Ho,KOR,Athletics,1988
3145,Men,Silver,VARDEN Steven,GBR,Athletics,1988
3146,Men,Bronze,LEAHY Thomas,IRL,Athletics,1988
3147,Men,Gold,WALKER Michael,GBR,Athletics,1988
3148,Men,Silver,BURNS Norman,GBR,Athletics,1988
3149,Men,Bronze,FUCHS Josef,AUT,Athletics,1988
3150,Men,Gold,WILLIAMS Paul,GBR,Athletics,1988
3151,Men,Silver,JOHNSON Denton,USA,Athletics,1988
3152,Men,Bronze,QUICKERT Michael,FRG,Athletics,1988
3153,Men,Gold,MATSUI Naoki,JPN,Athletics,1988
3154,Men,Silver,KWON Tae Joon,KOR,Athletics,1988
3155,Men,Bronze,AL-MUTAIRI Fahed,KUW,Athletics,1988
3156,Men,Gold,KU Keung Ho,KOR,Athletics,1988
3157,Men,Silver,LEE Keung Ho,KOR,Athletics,1988
3158,Men,Bronze,YUN Ji Hwan,KOR,Athletics,1988
3159,Men,Gold,KU Keung Ho,KOR,Athletics,1988
3160,Men,Silver,AMIN Jayesh,USA,Athletics,1988
3161,Men,Bronze,MARQUES Antonio,POR,Athletics,1988
3162,Men,Gold,MCCORMACK Michael,IRL,Athletics,1988
3163,Men,Silver,BALTAZAR Manuel,POR,Athletics,1988
3164,Men,Bronze,BOLAND David,IRL,Athletics,1988
3165,Men,Gold,HENKER Siegmar,FRG,Athletics,1988
3166,Men,Silver,PEREIRA Luis Claudio,BRA,Athletics,1988
3167,Men,Bronze,ETZLSTORFER Christoph,AUT,Athletics,1988
3168,Men,Gold,HARTL Manfred,AUT,Athletics,1988
3169,Men,Silver,THOMAS Bradley,AUS,Athletics,1988
3170,Men,Bronze,KURIS Alessandro,ITA,Athletics,1988
3171,Men,Gold,GUIRNUS Vitautas,URS,Athletics,1988
3172,Men,Silver,SEVASTIANOV Sergei,URS,Athletics,1988
3173,Men,Bronze,KUBACKI Zbigniew,POL,Athletics,1988
3174,Men,Gold,KALMYKOV Vadim,URS,Athletics,1988
3175,Men,Silver,MOKHIR Alexandre,URS,Athletics,1988
3176,Men,Bronze,OSMON James,USA,Athletics,1988
3177,Men,Gold,CHEPEL Oleg,URS,Athletics,1988
3178,Men,Silver,ARGILLANDER Hannu,FIN,Athletics,1988
3179,Men,Bronze,WARD Jonathan,GBR,Athletics,1988
3180,Men,Gold,NORTMANN Hermann,FRG,Athletics,1988
3181,Men,Silver,LEINONEN Matti,FIN,Athletics,1988
3182,Men,Bronze,SAUNDERS Kevin,USA,Athletics,1988
3183,Men,Gold,WEIDKAMP Peter,FRG,Athletics,1988
3184,Men,Silver,LOISINGER Josef,AUT,Athletics,1988
3185,Men,Bronze,MISTURINI Renato,ITA,Athletics,1988
3186,Men,Gold,PFALLER Walter,AUT,Athletics,1988
3187,Men,Silver,VAN OPHEM Remi,BEL,Athletics,1988
3188,Men,Bronze,SCHUHBAUER Johann,FRG,Athletics,1988
3189,Men,Gold,VAN DEN ABBEELE Rudi,FRA,Athletics,1988
3190,Men,Silver,WEIBERLE Eugen,FRG,Athletics,1988
3191,Men,Bronze,HARRIS John,GBR,Athletics,1988
3192,Men,Gold,AL-KHULEFI Adnan,KUW,Athletics,1988
3193,Men,Silver,WOLF Nachman,ISR,Athletics,1988
3194,Men,Bronze,VARELA Ernesto,MEX,Athletics,1988
3195,Women,Gold,TORRES Leticia,MEX,Athletics,1988
3196,Women,Silver,HANSEN Yolande,FRG,Athletics,1988
3197,Women,Bronze,THOMPSON Mary,USA,Athletics,1988
3198,Women,Gold,POUMEROL Claude,CAN,Athletics,1988
3199,Women,Silver,MOELLER Reinhild,FRG,Athletics,1988
3200,Women,Bronze,GAMBAL Karin,AUT,Athletics,1988
3201,Women,Gold,BUDDELMEYER Petra,FRG,Athletics,1988
3202,Women,Silver,SACHSE Jessica,FRG,Athletics,1988
3203,Women,Bronze,WILDEMAN Lynette,CAN,Athletics,1988
3204,Women,Gold,BAEK Min Ae,KOR,Athletics,1988
3205,Women,Silver,DECONDE Valerie,FRA,Athletics,1988
3206,Women,Bronze,HAMILTON Linda,CAN,Athletics,1988
3207,Women,Gold,SANTAMARTA Purificacion,ESP,Athletics,1988
3208,Women,Silver,KIM Bang Wol,KOR,Athletics,1988
3209,Women,Bronze,INVERNI Rossella,ITA,Athletics,1988
3210,Women,Gold,JOURAVLIOVA Raissa,URS,Athletics,1988
3211,Women,Silver,SANTOS Adria Rocha,BRA,Athletics,1988
3212,Women,Bronze,BATALOVA Rimma,URS,Athletics,1988
3213,Women,Gold,ZHAO Jihong,CHN,Athletics,1988
3214,Women,Silver,MANCKTELOW Lesli,NZL,Athletics,1988
3215,Women,Bronze,LEJA Helena,POL,Athletics,1988
3216,Women,Gold,ANDREY Zita,SUI,Athletics,1988
3217,Women,Silver,MALSAR Marcia,BRA,Athletics,1988
3218,Women,Bronze,SAUVE Sylvie,CAN,Athletics,1988
3219,Women,Gold,WARD Theresa,IRL,Athletics,1988
3220,Women,Silver,VESTENGEN Siw Kristin,NOR,Athletics,1988
3221,Women,Bronze,ROTH Leslie,USA,Athletics,1988
3222,Women,Gold,ROCK Alma,IRL,Athletics,1988
3223,Women,Silver,OKADA Maki,JPN,Athletics,1988
3224,Women,Bronze,MCMAHON Camilla,IRL,Athletics,1988
3225,Women,Gold,PORCELLATO Francesca,ITA,Athletics,1988
3226,Women,Silver,ZAJAC Brenda,USA,Athletics,1988
3227,Women,Bronze,GARCIA ESTRADA Dora Elia,MEX,Athletics,1988
3228,Women,Gold,BULLERI Sabrina,ITA,Athletics,1988
3229,Women,Silver,KOSTELYK Debbi,CAN,Athletics,1988
3230,Women,Bronze,LEE Min Ok,KOR,Athletics,1988
3231,Women,Gold,RAMSEY Charla,USA,Athletics,1988
3232,Women,Silver,VAZQUEZ Cecilia,MEX,Athletics,1988
3233,Women,Bronze,POLLET Marie-Line,BEL,Athletics,1988
3234,Women,Gold,SOTO Juana,MEX,Athletics,1988
3235,Women,Bronze,MCINTYRE Deahnne,AUS,Athletics,1988
3236,Women,Gold,TORRES Leticia,MEX,Athletics,1988
3237,Women,Silver,HANSEN Yolande,FRG,Athletics,1988
3238,Women,Bronze,WATERS Jean,USA,Athletics,1988
3239,Women,Gold,MOELLER Reinhild,FRG,Athletics,1988
3240,Women,Silver,POUMEROL Claude,CAN,Athletics,1988
3241,Women,Bronze,GAMBAL Karin,AUT,Athletics,1988
3242,Women,Gold,BUDDELMEYER Petra,FRG,Athletics,1988
3243,Women,Silver,SACHSE Jessica,FRG,Athletics,1988
3244,Women,Bronze,WILDEMAN Lynette,CAN,Athletics,1988
3245,Women,Gold,BAEK Min Ae,KOR,Athletics,1988
3246,Women,Silver,DECONDE Valerie,FRA,Athletics,1988
3247,Women,Bronze,HAMILTON Linda,CAN,Athletics,1988
3248,Women,Gold,VESTENGEN Siw Kristin,NOR,Athletics,1988
3249,Women,Silver,CABRAL Maria Albertina,POR,Athletics,1988
3250,Women,Bronze,PAYNE Jacquelyn,USA,Athletics,1988
3251,Women,Gold,BERGERON Sylvie,CAN,Athletics,1988
3252,Women,Silver,MCCOY Tiffani,USA,Athletics,1988
3253,Women,Bronze,SAEGER Annette,FRG,Athletics,1988
3254,Women,Gold,ZAJAC Brenda,USA,Athletics,1988
3255,Women,Silver,PORCELLATO Francesca,ITA,Athletics,1988
3256,Women,Bronze,WALTERS Ann,USA,Athletics,1988
3257,Women,Gold,BULLERI Sabrina,ITA,Athletics,1988
3258,Women,Silver,DURKIN Patricia,USA,Athletics,1988
3259,Women,Bronze,RAMSEY Sherry Ann,USA,Athletics,1988
3260,Women,Gold,VAZQUEZ Cecilia,MEX,Athletics,1988
3261,Women,Silver,POLLET Marie-Line,BEL,Athletics,1988
3262,Women,Bronze,RAMSEY Charla,USA,Athletics,1988
3263,Women,Gold,MCINTYRE Deahnne,AUS,Athletics,1988
3264,Women,Silver,SOTO Juana,MEX,Athletics,1988
3265,Women,Bronze,DRISCOLL Jean,USA,Athletics,1988
3266,Women,Gold,TORRES Leticia,MEX,Athletics,1988
3267,Women,Silver,HANSEN Yolande,FRG,Athletics,1988
3268,Women,Bronze,WATERS Jean,USA,Athletics,1988
3269,Women,Gold,BUDDELMEYER Petra,FRG,Athletics,1988
3270,Women,Silver,TERVONEN Tanja,FIN,Athletics,1988
3271,Women,Bronze,SACHSE Jessica,FRG,Athletics,1988
3272,Women,Gold,DECONDE Valerie,FRA,Athletics,1988
3273,Women,Silver,HAMILTON Linda,CAN,Athletics,1988
3274,Women,Bronze,BAEK Min Ae,KOR,Athletics,1988
3275,Women,Gold,PANKOVA Tamara,URS,Athletics,1988
3276,Women,Silver,SANTAMARTA Purificacion,ESP,Athletics,1988
3277,Women,Bronze,INVERNI Rossella,ITA,Athletics,1988
3278,Women,Gold,BATALOVA Rimma,URS,Athletics,1988
3279,Women,Silver,SANTOS Adria Rocha,BRA,Athletics,1988
3280,Women,Bronze,HERMANY Anelise,BRA,Athletics,1988
3281,Women,Gold,ZHAO Jihong,CHN,Athletics,1988
3282,Women,Silver,LEJA Helena,POL,Athletics,1988
3283,Women,Bronze,CHMIDEK Danute,URS,Athletics,1988
3284,Women,Gold,VESTENGEN Siw Kristin,NOR,Athletics,1988
3285,Women,Silver,CABRAL Maria Albertina,POR,Athletics,1988
3286,Women,Bronze,ATKINS Sonja,CAN,Athletics,1988
3287,Women,Gold,OKADA Maki,JPN,Athletics,1988
3288,Women,Silver,BERGERON Sylvie,CAN,Athletics,1988
3289,Women,Bronze,SAEGER Annette,FRG,Athletics,1988
3290,Women,Gold,LAURIDSEN Ingrid,DEN,Athletics,1988
3291,Women,Silver,MCLELLAN Yvette,AUS,Athletics,1988
3292,Women,Bronze,WALTERS Ann,USA,Athletics,1988
3293,Women,Gold,DURKIN Patricia,USA,Athletics,1988
3294,Women,Silver,JUTZELER Daniela,SUI,Athletics,1988
3295,Women,Bronze,GREY Tanni,GBR,Athletics,1988
3296,Women,Gold,HANSEN Connie,DEN,Athletics,1988
3297,Women,Silver,VAZQUEZ Cecilia,MEX,Athletics,1988
3298,Women,Bronze,HILL Maria,USA,Athletics,1988
3299,Women,Gold,SOTO Juana,MEX,Athletics,1988
3300,Women,Silver,MCINTYRE Deahnne,AUS,Athletics,1988
3301,Women,Bronze,DRISCOLL Jean,USA,Athletics,1988
3302,Women,Gold,TORRES Leticia,MEX,Athletics,1988
3303,Women,Silver,GOSSIAUX Florence,FRA,Athletics,1988
3304,Women,Bronze,HANSEN Yolande,FRG,Athletics,1988
3305,Women,Gold,JANSEN Janet,NED,Athletics,1988
3306,Women,Silver,HAMILTON Linda,CAN,Athletics,1988
3307,Women,Bronze,DECONDE Valerie,FRA,Athletics,1988
3308,Women,Gold,PANKOVA Tamara,URS,Athletics,1988
3309,Women,Silver,INVERNI Rossella,ITA,Athletics,1988
3310,Women,Bronze,OKIC Refija,YUG,Athletics,1988
3311,Women,Gold,BATALOVA Rimma,URS,Athletics,1988
3312,Women,Silver,HERMANY Anelise,BRA,Athletics,1988
3313,Women,Bronze,MCCLEAN Paige,USA,Athletics,1988
3314,Women,Gold,EGENSTEINER Patti,USA,Athletics,1988
3315,Women,Silver,CHMIDEK Danute,URS,Athletics,1988
3316,Women,Bronze,LACOUR Stephanie,USA,Athletics,1988
3317,Women,Gold,MOUCHA Susan,USA,Athletics,1988
3318,Women,Silver,LORINCZ Norma,CAN,Athletics,1988
3319,Women,Bronze,HEAD Racquel,CAN,Athletics,1988
3320,Women,Gold,OKADA Maki,JPN,Athletics,1988
3321,Women,Silver,BUCHAN Barbara,USA,Athletics,1988
3322,Women,Bronze,SAEGER Annette,FRG,Athletics,1988
3323,Women,Gold,LAURIDSEN Ingrid,DEN,Athletics,1988
3324,Women,Silver,CODY-MORRIS Ann,USA,Athletics,1988
3325,Women,Bronze,ZAJAC Brenda,USA,Athletics,1988
3326,Women,Gold,CABLE-BROOKS Candace,USA,Athletics,1988
3327,Women,Silver,RAMSEY Sherry Ann,USA,Athletics,1988
3328,Women,Bronze,JUTZELER Daniela,SUI,Athletics,1988
3329,Women,Gold,HANSEN Connie,DEN,Athletics,1988
3330,Women,Silver,MILLER Tracy,USA,Athletics,1988
3331,Women,Bronze,MCSHANE Kay,IRL,Athletics,1988
3332,Women,Gold,HANSEN Yolande,FRG,Athletics,1988
3333,Women,Silver,TORRES Leticia,MEX,Athletics,1988
3334,Women,Bronze,JANNETTE Monique,USA,Athletics,1988
3335,Women,Gold,JANSEN Janet,NED,Athletics,1988
3336,Women,Silver,HUNTER Sacajuwea,USA,Athletics,1988
3337,Women,Bronze,HAMILTON Linda,CAN,Athletics,1988
3338,Women,Gold,PANKOVA Tamara,URS,Athletics,1988
3339,Women,Silver,INVERNI Rossella,ITA,Athletics,1988
3340,Women,Bronze,OKIC Refija,YUG,Athletics,1988
3341,Women,Gold,QUELL Margit,FRG,Athletics,1988
3342,Women,Silver,CODY-MORRIS Ann,USA,Athletics,1988
3343,Women,Bronze,LAURIDSEN Ingrid,DEN,Athletics,1988
3344,Women,Gold,CABLE-BROOKS Candace,USA,Athletics,1988
3345,Women,Silver,RAMSEY Sherry Ann,USA,Athletics,1988
3346,Women,Bronze,JUTZELER Daniela,SUI,Athletics,1988
3347,Women,Gold,HANSEN Connie,DEN,Athletics,1988
3348,Women,Silver,MILLER Maria Tracy,USA,Athletics,1988
3349,Women,Bronze,HILL Maria,USA,Athletics,1988
3350,Women,Gold,JANSEN Janet,NED,Athletics,1988
3351,Women,Silver,HUNTER Sacajuwea,USA,Athletics,1988
3352,Women,Bronze,KANG Myung Soon,KOR,Athletics,1988
3353,Women,Gold,QUELL Margit,FRG,Athletics,1988
3354,Women,Silver,CODY-MORRIS Ann,USA,Athletics,1988
3355,Women,Bronze,LAURIDSEN Ingrid,DEN,Athletics,1988
3356,Women,Gold,HANSEN Connie,DEN,Athletics,1988
3357,Women,Silver,MILLER Tracy,USA,Athletics,1988
3358,Women,Bronze,DE CRAENE Chris,BEL,Athletics,1988
3359,Women,Gold,QUELL Margit,FRG,Athletics,1988
3360,Women,Silver,CODY-MORRIS Ann,USA,Athletics,1988
3361,Women,Bronze,LAURIDSEN Ingrid,DEN,Athletics,1988
3362,Women,Gold,OOTHOU Tami,USA,Athletics,1988
3363,Women,Silver,WALTERS Ann,USA,Athletics,1988
3364,Women,Bronze,HILL Patricia,NZL,Athletics,1988
3365,Women,Gold,CABLE-BROOKS Candace,USA,Athletics,1988
3366,Women,Silver,RAMSEY Sherry Ann,USA,Athletics,1988
3367,Women,Bronze,MAEDA Itsuko,JPN,Athletics,1988
3368,Women,Gold,HANSEN Connie,DEN,Athletics,1988
3369,Women,Silver,MILLER Tracy,USA,Athletics,1988
3370,Women,Bronze,MCSHANE Kay,IRL,Athletics,1988
3371,Women,Gold,TAYLOR Kerry,GBR,Athletics,1988
3372,Women,Silver,JOHNSON Carol,GBR,Athletics,1988
3373,Women,Bronze,GRAYBEAL Lee,USA,Athletics,1988
3374,Women,Gold,ITO Yumi,JPN,Athletics,1988
3375,Women,Silver,WATANUKI Michiyo,JPN,Athletics,1988
3376,Women,Bronze,HILL Patricia,NZL,Athletics,1988
3377,Women,Gold,SAKAUCHI Rumi,JPN,Athletics,1988
3378,Women,Silver,CHO Hyun Hee,KOR,Athletics,1988
3379,Women,Bronze,IMAIZUMI Schiharu,JPN,Athletics,1988
3380,Women,Gold,VAN RIJSWIJK Joke,NED,Athletics,1988
3381,Women,Silver,SANTAMARTA Purificacion,ESP,Athletics,1988
3382,Women,Bronze,BENNETT Lori,USA,Athletics,1988
3383,Women,Gold,JOURAVLIOVA Raissa,URS,Athletics,1988
3384,Women,Silver,SUSITZ Mariano,AUT,Athletics,1988
3385,Women,Bronze,ULLMANN Mona,NOR,Athletics,1988
3386,Women,Gold,EGENSTEINER Patti,USA,Athletics,1988
3387,Women,Silver,ZHAO Jihong,CHN,Athletics,1988
3388,Women,Bronze,MANCKTELOW Lesli,NZL,Athletics,1988
3389,Women,Gold,BUSTAMANTE Isabel,PUR,Athletics,1988
3390,Women,Silver,BARR Isabel,GBR,Athletics,1988
3391,Women,Bronze,WILSON Minette,JAM,Athletics,1988
3392,Women,Gold,MOLSEED Patricia,AUS,Athletics,1988
3393,Women,Silver,ROSS Denise,GBR,Athletics,1988
3394,Women,Bronze,LOVEGROVE Trish,CAN,Athletics,1988
3395,Women,Gold,VUKSANOVIC Nada,YUG,Athletics,1988
3396,Women,Silver,ULLMANN Mona,NOR,Athletics,1988
3397,Women,Bronze,WUBISIC Ljiliana,CAN,Athletics,1988
3398,Women,Gold,EDWARDS Susan,USA,Athletics,1988
3399,Women,Silver,BARLETTA Kathleen,USA,Athletics,1988
3400,Women,Bronze,TROTMAN Anne,GBR,Athletics,1988
3401,Women,Gold,BOUWMEESTER Ans,NED,Athletics,1988
3402,Women,Silver,WILLMS Martina,FRG,Athletics,1988
3403,Women,Bronze,LYNCH Marjorie,CAN,Athletics,1988
3404,Women,Gold,BOUW Joanne,CAN,Athletics,1988
3405,Women,Silver,DE SAINT Ann-Gael,BEL,Athletics,1988
3406,Women,Bronze,LARSEN Birte Oddny,NOR,Athletics,1988
3407,Women,Gold,AL-ROMI Adelah,KUW,Athletics,1988
3408,Women,Silver,DODRILL Christina,IRL,Athletics,1988
3409,Women,Bronze,RUPERT Christine,USA,Athletics,1988
3410,Women,Gold,SCHWANGER Laura,USA,Athletics,1988
3411,Women,Silver,RUSSELL Julie,AUS,Athletics,1988
3412,Women,Bronze,WANJIRU NJOROGG Lucy,KEN,Athletics,1988
3413,Women,Gold,MILINKOVIC Milka,YUG,Athletics,1988
3414,Women,Silver,CARLTON Kathryne Lynne,USA,Athletics,1988
3415,Women,Bronze,POLLET Marie-Line,BEL,Athletics,1988
3416,Women,Gold,RIPLEY Dorothy,GBR,Athletics,1988
3417,Women,Silver,MUNKER Elka,FRG,Athletics,1988
3418,Women,Bronze,RUBIN-ROSENBAUM Zipora,ISR,Athletics,1988
3419,Women,Gold,BARR Isabel,GBR,Athletics,1988
3420,Women,Silver,BUSTAMANTE Isabel,PUR,Athletics,1988
3421,Women,Bronze,WILSON Minette,JAM,Athletics,1988
3422,Women,Gold,JAENICKE Britta,FRG,Athletics,1988
3423,Women,Silver,MIELECH Zofia,POL,Athletics,1988
3424,Women,Bronze,ZIELONKA Barbel,FRG,Athletics,1988
3425,Women,Gold,ROSS Denise,GBR,Athletics,1988
3426,Women,Silver,SONG Meijie,CHN,Athletics,1988
3427,Women,Bronze,MONSCHEIN Hildegard,AUT,Athletics,1988
3428,Women,Gold,VUKSANOVIC Nada,YUG,Athletics,1988
3429,Women,Silver,JOURAVLIOVA Raissa,URS,Athletics,1988
3430,Women,Bronze,TOEWS Jacqueline,CAN,Athletics,1988
3431,Women,Gold,EDWARDS Susan,USA,Athletics,1988
3432,Women,Silver,GALLAGHER Lorraine,IRL,Athletics,1988
3433,Women,Bronze,TROTMAN Anne,GBR,Athletics,1988
3434,Women,Gold,BOUW Joanne,CAN,Athletics,1988
3435,Women,Silver,DE SAINT Ann-Gael,BEL,Athletics,1988
3436,Women,Bronze,ANDREY Zita,SUI,Athletics,1988
3437,Women,Gold,RUPERT Christine,USA,Athletics,1988
3438,Women,Silver,AL-ROMI Adelah,KUW,Athletics,1988
3439,Women,Bronze,DODRILL Christina,IRL,Athletics,1988
3440,Women,Gold,SCHWANGER Laura,USA,Athletics,1988
3441,Women,Silver,DUNNE-FITZPATRICK Cathy,IRL,Athletics,1988
3442,Women,Bronze,RUSSELL Julie,AUS,Athletics,1988
3443,Women,Gold,CARLTON Kathryne Lynne,USA,Athletics,1988
3444,Women,Silver,POLLET Marie-Line,BEL,Athletics,1988
3445,Women,Bronze,SOBOLEWSKA Halina,POL,Athletics,1988
3446,Women,Gold,MUNKER Elka,FRG,Athletics,1988
3447,Women,Silver,GRANT Sylvia,JAM,Athletics,1988
3448,Women,Bronze,PRIEUR Martine,FRA,Athletics,1988
3449,Women,Gold,WILSON Minette,JAM,Athletics,1988
3450,Women,Silver,BUSTAMANTE Isabel,PUR,Athletics,1988
3451,Women,Bronze,BARR Isabel,GBR,Athletics,1988
3452,Women,Gold,JAENICKE Britta,FRG,Athletics,1988
3453,Women,Silver,SMITH Donna,AUS,Athletics,1988
3454,Women,Bronze,SACHSE Jessica,FRG,Athletics,1988
3455,Women,Gold,OTTO-LANGE Brigitte,FRG,Athletics,1988
3456,Women,Silver,SONG Meijie,CHN,Athletics,1988
3457,Women,Bronze,MONSCHEIN Hildegard,AUT,Athletics,1988
3458,Women,Gold,ULLMANN Mona,NOR,Athletics,1988
3459,Women,Silver,MADLER Heike,FRG,Athletics,1988
3460,Women,Bronze,SOBIECH Maria,POL,Athletics,1988
3461,Women,Gold,EDWARDS Susan,USA,Athletics,1988
3462,Women,Silver,GILL Karen,AUS,Athletics,1988
3463,Women,Bronze,TROTMAN Anne,GBR,Athletics,1988
3464,Women,Gold,BOUW Joanne,CAN,Athletics,1988
3465,Women,Silver,WARD Theresa,IRL,Athletics,1988
3466,Women,Bronze,HEARN Deborah,USA,Athletics,1988
3467,Women,Gold,AL-ROMI Adelah,KUW,Athletics,1988
3468,Women,Silver,MUTETI Grace,KEN,Athletics,1988
3469,Women,Bronze,RUPERT Christine,USA,Athletics,1988
3470,Women,Gold,SCHWANGER Laura,USA,Athletics,1988
3471,Women,Silver,WANJIRU NJOROGG Lucy,KEN,Athletics,1988
