imdb,date_aired,format,engagement
7.3,1999-10-05,Movie,6527.0
7.4,1999-10-31,TV Series,390.0
6.9,2000-10-03,Movie,5625.0
7.0,2001-10-09,Movie,6632.0
7.2,2001-10-31,TV Series,256.0
5.1,2002-06-14,Movie (Theatrical),100951.0
8.1,2002-07-07,Crossover,133.0
7.5,2002-09-14,TV Series,176.0
7.4,2002-09-21,TV Series,150.0
7.6,2002-09-28,TV Series,151.0
7.7,2002-10-05,TV Series,142.0
7.6,2002-10-26,TV Series,144.0
7.5,2002-11-02,TV Series,125.0
7.7,2002-11-09,TV Series,133.0
7.1,2002-11-23,TV Series,130.0
7.1,2002-11-30,TV Series,122.0
7.5,2002-12-13,TV Series,137.0
7.7,2003-02-01,TV Series,122.0
7.5,2003-02-15,TV Series,115.0
7.1,2003-02-22,TV Series,110.0
6.6,2003-03-04,Movie,4180.0
7.3,2003-03-22,TV Series,110.0
7.2,2003-09-13,TV Series,112.0
7.6,2003-09-20,TV Series,102.0
7.4,2003-09-27,TV Series,104.0
6.5,2003-09-30,Movie,3462.0
7.5,2003-10-04,TV Series,101.0
7.4,2003-10-18,TV Series,105.0
7.6,2003-10-25,TV Series,129.0
7.2,2003-10-25,TV Series,97.0
7.3,2004-03-20,TV Series,103.0
7.5,2004-03-22,TV Series,113.0
7.5,2004-03-23,TV Series,109.0
7.5,2004-03-24,TV Series,94.0
7.4,2004-03-25,TV Series,99.0
7.2,2004-03-26,TV Series,96.0
5.1,2004-03-26,Movie (Theatrical),50847.0
7.4,2004-03-27,TV Series,91.0
6.7,2004-06-24,Movie,4108.0
8.0,2005-01-29,TV Series,128.0
7.2,2005-02-05,TV Series,102.0
6.4,2005-02-08,Movie,3696.0
7.5,2005-02-11,TV Series,97.0
7.4,2005-02-12,TV Series,90.0
7.5,2005-02-19,TV Series,89.0
7.3,2005-02-25,TV Series,101.0
7.0,2005-03-03,TV Series,96.0
7.6,2005-03-12,TV Series,105.0
7.5,2005-03-19,TV Series,100.0
7.4,2005-03-26,TV Series,88.0
7.3,2005-04-02,TV Series,87.0
7.4,2005-04-09,TV Series,84.0
7.5,2005-04-19,TV Series,92.0
6.7,2005-11-24,Movie,2974.0
7.4,2006-07-21,TV Series,91.0
6.7,2006-09-19,Movie,2454.0
6.1,2006-09-23,TV Series,29.0
5.0,2006-09-30,TV Series,21.0
6.0,2006-10-07,TV Series,22.0
5.9,2006-11-04,TV Series,19.0
5.9,2006-11-11,TV Series,17.0
5.5,2006-11-18,TV Series,17.0
5.8,2007-02-02,TV Series,18.0
6.9,2007-02-10,TV Series,17.0
5.1,2007-02-17,TV Series,16.0
6.1,2007-02-24,TV Series,20.0
6.1,2007-03-03,TV Series,14.0
5.9,2007-04-28,TV Series,17.0
5.1,2007-05-05,TV Series,14.0
6.7,2007-08-31,Movie,2511.0
5.3,2007-09-22,TV Series,15.0
5.2,2007-09-29,TV Series,16.0
5.9,2007-10-06,TV Series,18.0
5.5,2007-10-13,TV Series,14.0
5.4,2007-11-03,TV Series,13.0
