index,network,title,imdb,engagement,format,monster_gender,motive
144,ABC,One Million Years Before Lunch,7.1,24.0,TV Series (segmented),Male,Abduction
145,ABC,Where's the Wolf,7.4,24.0,TV Series (segmented),Male,Food
146,ABC,Snow Job Too Small,6.8,26.0,TV Series (segmented),Male,Inheritance
147,ABC,Scooby the Barbarian,7.4,27.0,TV Series (segmented),Male,Theft
148,ABC,No Sharking Zone,7.4,27.0,TV Series (segmented),Male,Treasure
149,ABC,The Quagmire Quake Caper,7.5,21.0,TV Series (segmented),Male,Theft
150,ABC,Hound of the Scoobyvilles,7.5,17.0,TV Series (segmented),Male,Inheritance
151,ABC,The Dinosaur Deception,7.5,17.0,TV Series (segmented),Male,Treasure
152,ABC,The Creature Came from The Chemlab,7.7,20.0,TV Series (segmented),Male,Theft
153,ABC,"No Thanks, Masked Manx",7.7,20.0,TV Series (segmented),Male,Theft
154,ABC,Scooby of the Jungle,7.2,18.0,TV Series (segmented),Male,Smuggling
155,ABC,Scooby Roo,7.5,15.0,TV Series (segmented),Male,Natural Resource
156,ABC,Wizards and Warlocks,7.3,15.0,TV Series (segmented),Male,Competition
157,ABC,Scoobsie,7.3,15.0,TV Series (segmented),Male,Competition
158,ABC,The Crazy Carnival Caper,7.1,17.0,TV Series (segmented),Male,Theft
159,ABC,Scooby and the Minotaur,7.4,18.0,TV Series (segmented),Male,Treasure
160,ABC,Scooby Pinch Hits,7.4,18.0,TV Series (segmented),Male,Competition
161,ABC,The Fall Dog,7.2,20.0,TV Series (segmented),Male,Competition
162,ABC,The Scooby Coupe,7.2,20.0,TV Series (segmented),Male,Competition
163,ABC,Scooby ala Mode,6.5,21.0,TV Series (segmented),Male,Competition
164,ABC,Where's Scooby-Doo?,6.5,19.0,TV Series,Male,Smuggling
165,ABC,Wedding Bell Boos!,6.5,23.0,TV Series,Male,Treasure
166,ABC,"Happy Birthday, Scooby-Doo",7.2,45.0,TV Series,Male,Theft
167,ABC,Scooby's Peep-Hole Pandemonium,7.2,29.0,TV Series (segmented),Female,Theft
168,ABC,The Hand of Horror,7.2,29.0,TV Series (segmented),Male,Theft
