,imdb,engagement,monster_gender,motive
223,8.4,197.0,Male,Abduction
224,8.2,192.0,Male,Competition
225,8.4,188.0,Male,Theft
226,7.7,177.0,Male,Competition
227,8.2,172.0,Male,Natural Resource
228,8.3,183.0,Female,Treasure
229,8.3,176.0,Male,Competition
231,8.7,187.0,"Male,Female",Theft
232,8.2,169.0,Male,Preservation
233,8.9,207.0,Male,Theft
234,7.6,174.0,Male,Theft
235,8.6,180.0,Male,Theft
237,7.0,392.0,Male,Competition
239,8.0,172.0,"Male,Male,Female",Theft
240,8.3,167.0,"Male,Female",Theft
241,8.0,180.0,"Male,Male,Male,Male",Competition
242,7.8,166.0,Male,Competition
243,8.3,171.0,Male,Competition
244,8.9,176.0,"Male,Female",Theft
245,8.9,187.0,Male,Preservation
246,8.4,165.0,Female,Competition
247,8.7,169.0,Male,Treasure
250,7.3,403.0,Male,Theft
251,6.5,242.0,Male,Competition
253,6.6,216.0,Male,Theft
256,7.1,188.0,Male,Theft
258,7.9,122.0,Male,Competition
259,7.2,102.0,Male,Treasure
260,7.4,101.0,"Male,Male",Treasure
261,7.3,85.0,Male,Competition
262,7.3,78.0,Male,Competition
263,7.6,80.0,Male,Theft
264,7.5,84.0,Male,Competition
265,8.2,88.0,Male,Theft
266,7.4,72.0,Female,Competition
267,7.5,75.0,Male,Competition
268,7.5,72.0,Male,Competition
269,7.4,71.0,Male,Competition
270,7.5,81.0,Male,Inheritance
271,6.6,288.0,Male,Treasure
272,7.4,75.0,Male,Theft
273,7.7,72.0,Male,Theft
274,7.8,66.0,Male,Competition
275,7.9,67.0,Male,Competition
276,8.2,67.0,Male,Theft
277,7.5,63.0,Male,Preservation
279,7.4,58.0,Male,Competition
280,7.4,54.0,"Male,Male",Natural Resource
283,7.2,58.0,Female,Competition
284,7.6,52.0,Male,Treasure
285,7.2,50.0,Male,Competition
286,7.3,48.0,"Male,Male,Male",Natural Resource
287,7.7,50.0,Male,Theft
289,8.2,53.0,Male,Competition
290,7.5,40.0,Male,Theft
291,7.4,40.0,Male,Competition
292,7.6,42.0,Male,Theft
293,7.1,38.0,Male,Competition
294,7.5,42.0,"Male,Male,Male,Male,Female,Male,Male,Male",Theft
295,7.4,43.0,"Female,Male",Competition
296,7.5,39.0,Male,Competition
297,6.6,40.0,Male,Competition
298,7.7,47.0,"Male,Female,Male,Male",Theft
299,8.0,44.0,Male,Natural Resource
300,7.9,50.0,Female,Competition
301,7.4,38.0,Male,Competition
302,7.2,35.0,Male,Competition
303,6.7,35.0,Female,Competition
305,7.1,41.0,Male,Competition
306,7.2,31.0,Male,Competition
307,7.4,36.0,Female,Competition
308,7.4,38.0,Male,Theft
309,7.3,39.0,Male,Competition
310,6.9,37.0,Male,Theft
311,6.7,33.0,Male,Competition
312,6.9,33.0,Male,Theft
313,7.9,36.0,Male,Competition
314,6.8,31.0,Male,Competition
315,6.8,31.0,Male,Treasure
319,7.0,126.0,Male,Competition
320,7.9,93.0,Male,Treasure
321,7.9,79.0,Male,Competition
322,8.1,78.0,Male,Theft
324,7.3,84.0,Male,Theft
325,8.1,74.0,Male,Treasure
326,8.3,70.0,"Male,Male",Entertainment
327,6.5,74.0,Male,Natural Resource
328,7.5,52.0,Male,Competition
329,7.5,61.0,"Male,Male",Natural Resource
330,7.4,59.0,Female,Theft
331,7.4,47.0,Male,Competition
332,8.7,84.0,Male,Theft
333,8.1,38.0,Male,Inheritance
334,8.8,35.0,Male,Theft
335,7.9,36.0,"Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male",Competition
336,8.1,25.0,Male,Inheritance
337,7.8,27.0,Male,Treasure
338,7.7,23.0,Male,Competition
339,8.2,28.0,Male,Competition
340,7.6,22.0,Female,Competition
341,8.6,19.0,Female,Theft
342,7.9,21.0,"Male,Male",Simulation
343,8.4,25.0,Female,Competition
344,7.6,27.0,Male,Competition
345,8.2,24.0,Male,Theft
347,6.2,422.0,"Female,Male",Competition
